Year,Trade Flow,Reporter,Partner,Commodity Code,Commodity,Qty Unit,Qty,Netweight (kg),Trade Value (US$)
2021,Export,Czechia,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,35779921,35779921,69976242
2021,Import,Singapore,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,50721528,50721528,129535572
2021,Import,Colombia,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,47798966,47798966,107794236
2021,Export,Denmark,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,6255959,6255959,19070098
2021,Import,Norway,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,47601644,47601644,78276315
2021,Export,Dominican Rep.,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,85630,85667,214373
2021,Import,"Other Asia, nes",World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,44339676,44339676,124577480
2021,Export,Ecuador,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,997212,997212,2340669
2021,Import,Greece,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,40402309,40402309,78201145
2021,Export,El Salvador,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,78300,78300,331527
2021,Import,Romania,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,37544415,37544415,73990537
2021,Import,Morocco,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,36861849,36861849,61350510
2021,Export,Estonia,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,306926,306926,735208
2021,Import,Hungary,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,35485124,35485122,93777430
2021,Import,Israel,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,34277938,34277938,85075000
2021,Export,Finland,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,45939292,45939292,79317756
2021,Import,Nigeria,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,33939156,33939156,47865939
2021,Export,France,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,697792801,697792801,1507288902
2021,Import,Peru,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,33398842,33398842,74192156
2021,Export,Georgia,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,144220,144220,287807
2021,Import,Serbia,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,29053418,29053418,56641369
2021,Import,"China, Hong Kong SAR",World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,24208396,24208396,65525951
2021,Import,Kenya,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,21724111,21724111,30919364
2021,Export,Greece,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",No Quantity,0,,5562331
2021,Import,New Zealand,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,20305061,20305061,42996183
2021,Export,Guatemala,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,802223,802223,2786144
2021,Import,Slovenia,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,19546306,19546306,45121099
2021,Export,Guyana,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,2130,2130,8552
2021,Import,Oman,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,18886026,18886026,32960663
2021,Export,Honduras,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,1844,1844,6344
2021,Import,Belarus,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,18804181,18804181,43731000
2021,Export,"China, Hong Kong SAR",World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,22895075,22895075,79684262
2021,Import,Ecuador,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,17881594,17209895,33868823
2021,Export,Hungary,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,2704915,2704917,10235383
2021,Import,Costa Rica,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,16040902,16040902,31732318
2021,Import,Croatia,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,14799771,14799771,24694748
2021,Export,Indonesia,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,88386636,88386636,112472523
2021,Import,Tunisia,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,14047614,14047614,24303061
2021,Export,Ireland,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,467181,467181,3283609
2021,Import,Slovakia,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,13435636,13435636,31795060
2021,Export,Israel,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,23846925,23846925,55032000
2021,Import,Qatar,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,11842088,11842088,17730563
2021,Export,Italy,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,202530597,202530597,454614644
2021,Import,Sri Lanka,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,11758138,11758138,27132921
2021,Export,Jamaica,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,53828,53828,135650
2021,Import,Uzbekistan,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,11557806,11557806,28782310
2021,Export,Japan,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,524402859,524402859,1298416839
2021,Import,Ireland,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,10723829,10723829,34559529
2021,Export,Jordan,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,1288798,1288798,2974184
2021,Import,United Rep. of Tanzania,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,10707434,10707434,15162220
2021,Export,Kenya,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,486619,486619,1109964
2021,Import,Bulgaria,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,10309606,10309606,20686683
2021,Export,Rep. of Korea,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,953601379,953601379,1727809910
